Diagnosis,Diagnosis_categories,Finished Admission Episodes,Emergency,Waiting list,Planned,Other,Mean_time_waited,Mean_length_of_stay,Young Children,Older Children and Adolescents,Young Adults,Middle-Aged Adults,Older Adults,Elderly 90+,Emergency Admission Ratio (%),Overcrowding_Status
Impetigo,Diseases of the skin and subcutaneous tissue,1172,1077,57.0,36.0,2.0,8.0,2.0,634,386.0,170.0,107.0,41,3,91.89419795221842,1
"Cutaneous abscess, furuncle and carbuncle",Diseases of the skin and subcutaneous tissue,51192,43997,4568.0,2420.0,207.0,30.0,2.0,1311,2648.0,22317.0,23103.0,8246,334,85.94506954211596,1
Cellulitis,Diseases of the skin and subcutaneous tissue,104876,87788,9120.0,7372.0,596.0,7.0,5.0,2484,3518.0,14553.0,50607.0,77350,10583,83.70647240550745,0
Acute lymphadenitis,Diseases of the skin and subcutaneous tissue,2651,2211,309.0,107.0,24.0,21.0,2.0,1415,862.0,252.0,253.0,144,7,83.40248962655602,0
Pilonidal cyst,Diseases of the skin and subcutaneous tissue,23359,14529,7818.0,966.0,46.0,127.0,1.0,136,2570.0,18358.0,3228.0,390,9,62.19872426045635,0
Other local infections of skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue,6253,4464,1448.0,299.0,42.0,58.0,4.0,535,538.0,1374.0,2524.0,2380,264,71.38973292819448,0
Pemphigus,Diseases of the skin and subcutaneous tissue,646,114,210.0,321.0,1.0,34.0,13.0,0,4.0,145.0,378.0,300,7,17.647058823529413,0
Other acantholytic disorders,Diseases of the skin and subcutaneous tissue,207,4,200.0,3.0,0.0,49.0,3.0,0,2.0,10.0,67.0,119,8,1.932367149758454,0
Pemphigoid,Diseases of the skin and subcutaneous tissue,1423,600,378.0,434.0,11.0,41.0,13.0,14,23.0,106.0,439.0,1464,229,42.164441321152495,0
Other bullous disorders,Diseases of the skin and subcutaneous tissue,264,86,117.0,61.0,0.0,28.0,6.0,12,25.0,20.0,130.0,87,15,32.57575757575758,0
Atopic dermatitis,Diseases of the skin and subcutaneous tissue,1641,613,500.0,525.0,3.0,34.0,2.0,311,534.0,526.0,371.0,104,3,37.355271176112126,0
Seborrhoeic dermatitis,Diseases of the skin and subcutaneous tissue,217,167,42.0,4.0,4.0,54.0,2.0,125,15.0,33.0,30.0,56,2,76.95852534562212,0
Diaper [napkin] dermatitis,Diseases of the skin and subcutaneous tissue,381,356,16.0,6.0,3.0,6.0,1.0,363,8.0,9.0,2.0,8,5,93.43832020997375,1
Allergic contact dermatitis,Diseases of the skin and subcutaneous tissue,455,356,73.0,23.0,3.0,117.0,1.0,61,55.0,132.0,171.0,92,5,78.24175824175825,0
Irritant contact dermatitis,Diseases of the skin and subcutaneous tissue,173,153,11.0,6.0,3.0,49.0,5.0,9,17.0,34.0,66.0,118,13,88.4393063583815,1
Unspecified contact dermatitis,Diseases of the skin and subcutaneous tissue,328,276,26.0,20.0,6.0,56.0,2.0,37,40.0,88.0,116.0,95,11,84.14634146341463,0
Exfoliative dermatitis,Diseases of the skin and subcutaneous tissue,62,55,7.0,0.0,0.0,13.0,8.0,0,2.0,33.0,25.0,49,4,88.70967741935483,1
Dermatitis due to substances taken internally,Diseases of the skin and subcutaneous tissue,2918,2276,429.0,194.0,19.0,76.0,2.0,251,162.0,596.0,1181.0,1429,82,77.99862919808088,0
Lichen simplex chronicus and prurigo,Diseases of the skin and subcutaneous tissue,966,89,821.0,54.0,2.0,49.0,4.0,10,50.0,117.0,407.0,408,24,9.213250517598343,0
Pruritus,Diseases of the skin and subcutaneous tissue,1318,727,399.0,104.0,88.0,71.0,1.0,58,91.0,362.0,495.0,383,28,55.15933232169955,0
Other dermatitis,Diseases of the skin and subcutaneous tissue,7736,5196,1998.0,509.0,33.0,55.0,2.0,2372,1666.0,1560.0,1577.0,1707,155,67.1664943123061,0
Psoriasis,Diseases of the skin and subcutaneous tissue,6851,1188,2012.0,3636.0,15.0,65.0,7.0,11,250.0,1378.0,4229.0,1849,20,17.340534228579767,0
Parapsoriasis,Diseases of the skin and subcutaneous tissue,41,6,35.0,0.0,0.0,88.0,5.0,0,9.0,6.0,13.0,15,0,14.634146341463413,0
Pityriasis rosea,Diseases of the skin and subcutaneous tissue,49,34,8.0,5.0,2.0,11.0,1.0,5,16.0,14.0,12.0,7,0,69.38775510204081,0
Lichen planus,Diseases of the skin and subcutaneous tissue,1758,47,1690.0,19.0,2.0,59.0,2.0,0,11.0,159.0,848.0,730,8,2.6734926052332195,0
Other papulosquamous disorders,Diseases of the skin and subcutaneous tissue,128,49,43.0,36.0,0.0,38.0,3.0,26,13.0,8.0,25.0,66,2,38.28125,0
Urticaria,Diseases of the skin and subcutaneous tissue,7778,2850,2216.0,2699.0,13.0,54.0,1.0,932,1293.0,2383.0,2748.0,809,23,36.64181023399332,0
Erythema multiforme,Diseases of the skin and subcutaneous tissue,964,880,37.0,26.0,21.0,49.0,5.0,348,301.0,267.0,217.0,193,12,91.28630705394191,1
Erythema nodosum,Diseases of the skin and subcutaneous tissue,448,359,57.0,31.0,1.0,31.0,1.0,21,91.0,227.0,155.0,39,5,80.13392857142857,0
Other erythematous conditions,Diseases of the skin and subcutaneous tissue,1728,1315,291.0,112.0,10.0,43.0,2.0,181,102.0,357.0,647.0,717,65,76.09953703703704,0
Erythema in diseases classified elsewhere,Diseases of the skin and subcutaneous tissue,6,5,1.0,0.0,0.0,46.0,4.0,0,2.0,0.0,3.0,7,0,83.33333333333334,0
Sunburn,Diseases of the skin and subcutaneous tissue,191,169,9.0,8.0,5.0,13.0,1.0,41,64.0,52.0,46.0,14,2,88.48167539267016,1
Other acute skin changes due to ultraviolet radiation,Diseases of the skin and subcutaneous tissue,247,46,159.0,42.0,0.0,45.0,2.0,6,8.0,42.0,87.0,111,3,18.62348178137652,0
Skin changes due to chronic exposure to nonionizing radiation,Diseases of the skin and subcutaneous tissue,16070,48,15841.0,177.0,4.0,49.0,3.0,1,8.0,199.0,2993.0,11731,1106,0.29869321717486,0
Radiodermatitis,Diseases of the skin and subcutaneous tissue,41,30,9.0,2.0,0.0,10.0,7.0,0,2.0,3.0,20.0,22,0,73.17073170731707,0
Other disorders of skin and subcutaneous tissue related to radiation,Diseases of the skin and subcutaneous tissue,118,48,66.0,4.0,0.0,53.0,3.0,1,1.0,2.0,39.0,66,10,40.67796610169492,0
Nail disorders,Diseases of the skin and subcutaneous tissue,5543,322,5091.0,123.0,7.0,100.0,1.0,95,2180.0,1251.0,1218.0,798,24,5.809128630705394,0
Nail disorders in diseases classified elsewhere,Diseases of the skin and subcutaneous tissue,1,0,1.0,0.0,0.0,98.0,0.0,0,0.0,0.0,0.0,1,0,0.0,0
Alopecia areata,Diseases of the skin and subcutaneous tissue,146,4,138.0,4.0,0.0,65.0,5.0,0,23.0,60.0,51.0,11,1,2.73972602739726,0
Androgenic alopecia,Diseases of the skin and subcutaneous tissue,45,1,41.0,3.0,0.0,41.0,1.0,0,1.0,14.0,14.0,15,0,2.2222222222222223,0
Other nonscarring hair loss,Diseases of the skin and subcutaneous tissue,323,13,299.0,11.0,0.0,71.0,4.0,2,26.0,98.0,142.0,51,0,4.024767801857585,0
Cicatricial alopecia [scarring hair loss],Diseases of the skin and subcutaneous tissue,288,18,258.0,12.0,0.0,90.0,1.0,2,21.0,75.0,144.0,47,0,6.25,0
Hair colour and hair shaft abnormalities,Diseases of the skin and subcutaneous tissue,5,0,5.0,0.0,0.0,171.0,0.0,0,2.0,0.0,1.0,2,0,0.0,0
Hypertrichosis,Diseases of the skin and subcutaneous tissue,274,2,141.0,130.0,1.0,86.0,1.0,3,131.0,106.0,14.0,14,0,0.7299270072992701,0
Acne,Diseases of the skin and subcutaneous tissue,194,82,102.0,9.0,1.0,73.0,0.0,48,21.0,47.0,36.0,44,2,42.2680412371134,0
Rosacea,Diseases of the skin and subcutaneous tissue,321,42,273.0,6.0,0.0,177.0,2.0,2,7.0,33.0,111.0,180,3,13.084112149532709,0
Follicular cysts of skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue,40189,14609,24470.0,1082.0,28.0,111.0,0.0,314,956.0,11453.0,18951.0,9384,217,36.35074274055089,0
Other follicular disorders,Diseases of the skin and subcutaneous tissue,4086,1237,2253.0,588.0,8.0,135.0,3.0,23,166.0,1846.0,1834.0,494,13,30.274106705824767,0
Eccrine sweat disorders,Diseases of the skin and subcutaneous tissue,96,68,24.0,3.0,1.0,55.0,1.0,38,12.0,16.0,19.0,16,2,70.83333333333334,0
Apocrine sweat disorders,Diseases of the skin and subcutaneous tissue,12,2,10.0,0.0,0.0,46.0,1.0,0,0.0,3.0,6.0,2,1,16.666666666666664,0
Vitiligo,Diseases of the skin and subcutaneous tissue,49,2,29.0,18.0,0.0,32.0,1.0,0,6.0,13.0,22.0,8,0,4.081632653061225,0
Other disorders of pigmentation,Diseases of the skin and subcutaneous tissue,3844,106,3648.0,79.0,11.0,40.0,1.0,100,163.0,510.0,1516.0,1547,35,2.757544224765869,0
Seborrhoeic keratosis,Diseases of the skin and subcutaneous tissue,12252,37,12112.0,101.0,2.0,52.0,1.0,0,39.0,545.0,4095.0,7129,406,0.30199151158994453,0
Acanthosis nigricans,Diseases of the skin and subcutaneous tissue,315,8,294.0,13.0,0.0,45.0,1.0,1,25.0,23.0,101.0,153,11,2.5396825396825395,0
Corns and callosities,Diseases of the skin and subcutaneous tissue,178,23,154.0,1.0,0.0,148.0,3.0,1,6.0,23.0,76.0,79,0,12.921348314606742,0
Other epidermal thickening,Diseases of the skin and subcutaneous tissue,4903,74,4759.0,68.0,2.0,37.0,2.0,17,50.0,158.0,1060.0,3300,352,1.5092800326330817,0
Keratoderma in diseases classified elsewhere,Diseases of the skin and subcutaneous tissue,1,0,1.0,0.0,0.0,36.0,0.0,0,0.0,1.0,0.0,0,0,0.0,0
Transepidermal elimination disorders,Diseases of the skin and subcutaneous tissue,36,3,31.0,1.0,1.0,53.0,31.0,0,0.0,5.0,15.0,20,0,8.333333333333332,0
Pyoderma gangrenosum,Diseases of the skin and subcutaneous tissue,818,186,162.0,467.0,3.0,29.0,15.0,40,17.0,259.0,384.0,340,3,22.73838630806846,0
Decubitus ulcer and pressure area,Diseases of the skin and subcutaneous tissue,3448,3009,276.0,64.0,99.0,99.0,25.0,14,42.0,285.0,2094.0,5132,889,87.26798143851508,1
Atrophic disorders of skin,Diseases of the skin and subcutaneous tissue,7610,227,6967.0,411.0,5.0,126.0,1.0,141,726.0,1500.0,2640.0,2474,95,2.9829172141918527,0
Hypertrophic disorders of skin,Diseases of the skin and subcutaneous tissue,4373,128,4057.0,183.0,5.0,128.0,1.0,177,705.0,1690.0,1278.0,542,11,2.9270523667962496,0
Granulomatous disorders of skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue,2387,579,1627.0,174.0,7.0,77.0,1.0,244,237.0,585.0,806.0,538,17,24.256388772517802,0
Lupus erythematosus,Diseases of the skin and subcutaneous tissue,286,38,148.0,100.0,0.0,80.0,5.0,1,9.0,77.0,145.0,85,1,13.286713286713287,0
Other localized connective tissue disorders,Diseases of the skin and subcutaneous tissue,863,51,640.0,170.0,2.0,109.0,2.0,34,294.0,144.0,219.0,191,3,5.909617612977984,0
"Vasculitis limited to skin, not elsewhere classified",Diseases of the skin and subcutaneous tissue,1074,696,200.0,172.0,6.0,35.0,5.0,20,50.0,356.0,589.0,495,24,64.80446927374301,0
"Ulcer of lower limb, not elsewhere classified",Diseases of the skin and subcutaneous tissue,13541,10972,1948.0,372.0,249.0,36.0,11.0,8,43.0,1008.0,6332.0,14595,2598,81.02798907023116,0
"Other disorders of skin and subcutaneous tissue, not elsewhere classified",Diseases of the skin and subcutaneous tissue,47561,2037,44888.0,599.0,37.0,64.0,3.0,458,1158.0,5277.0,14088.0,25169,2163,4.2829208805533945,0
Other disorders of skin and subcutaneous tissue in diseases classified elsewhere,Diseases of the skin and subcutaneous tissue,36,3,31.0,2.0,0.0,89.0,3.0,0,0.0,8.0,15.0,15,1,8.333333333333332,0
Pyogenic arthritis,Diseases of the musculoskeletal system and connective tissue,6017,4513,819.0,484.0,201.0,28.0,14.0,519,498.0,1078.0,2945.0,4189,428,75.00415489446569,0
Direct infections of joint in infectious and parasitic diseases classified elsewhere,Diseases of the musculoskeletal system and connective tissue,39,28,4.0,7.0,0.0,140.0,8.0,5,1.0,7.0,5.0,7,0,71.7948717948718,0
Reactive arthropathies,Diseases of the musculoskeletal system and connective tissue,826,696,50.0,71.0,9.0,376.0,4.0,146,163.0,310.0,275.0,203,6,84.26150121065376,0
Postinfective and reactive arthropathies in diseases classified elsewhere,Diseases of the musculoskeletal system and connective tissue,26,11,6.0,9.0,0.0,79.0,3.0,3,1.0,7.0,6.0,11,0,42.30769230769231,0
Seropositive rheumatoid arthritis,Diseases of the musculoskeletal system and connective tissue,27873,413,8628.0,18828.0,4.0,61.0,5.0,0,4.0,1453.0,13499.0,13108,112,1.4817206615721306,0
Other rheumatoid arthritis,Diseases of the musculoskeletal system and connective tissue,37721,1593,12316.0,23793.0,19.0,78.0,4.0,4,40.0,2757.0,17180.0,18532,210,4.223111794491132,0
Psoriatic and enteropathic arthropathies,Diseases of the musculoskeletal system and connective tissue,2687,79,791.0,1814.0,3.0,82.0,4.0,0,22.0,427.0,1573.0,683,4,2.940081875697804,0
Juvenile arthritis,Diseases of the musculoskeletal system and connective tissue,11098,374,4589.0,6121.0,14.0,90.0,3.0,611,6509.0,3216.0,623.0,101,0,3.3699765723553794,0
Juvenile arthritis in diseases classified elsewhere,Diseases of the musculoskeletal system and connective tissue,426,6,179.0,240.0,1.0,127.0,2.0,3,225.0,192.0,3.0,5,0,1.4084507042253522,0
Gout,Diseases of the musculoskeletal system and connective tissue,6781,5824,741.0,168.0,48.0,115.0,5.0,1,3.0,596.0,3253.0,5909,816,85.88703731013125,1
Other crystal arthropathies,Diseases of the musculoskeletal system and connective tissue,2063,1878,121.0,38.0,26.0,137.0,8.0,1,1.0,43.0,314.0,2910,743,91.03247697527873,1
Other specific arthropathies,Diseases of the musculoskeletal system and connective tissue,755,55,583.0,115.0,2.0,123.0,2.0,6,22.0,212.0,351.0,188,6,7.28476821192053,0
Other arthritis,Diseases of the musculoskeletal system and connective tissue,9228,1515,6893.0,806.0,14.0,172.0,3.0,54,158.0,869.0,4177.0,4430,158,16.41742522756827,0
Arthropathies in other diseases classified elsewhere,Diseases of the musculoskeletal system and connective tissue,328,68,236.0,22.0,2.0,129.0,11.0,0,0.0,20.0,252.0,122,1,20.73170731707317,0
Polyarthrosis,Diseases of the musculoskeletal system and connective tissue,32494,1228,29659.0,1579.0,28.0,176.0,3.0,1,3.0,129.0,9365.0,23721,600,3.7791592293961966,0
Coxarthrosis [arthrosis of hip],Diseases of the musculoskeletal system and connective tissue,81695,1990,77917.0,1653.0,135.0,171.0,3.0,2,27.0,1364.0,28283.0,53102,1368,2.4358895893261523,0
Gonarthrosis [arthrosis of knee],Diseases of the musculoskeletal system and connective tissue,104580,3675,98299.0,2432.0,174.0,192.0,3.0,4,15.0,953.0,34839.0,70845,1436,3.5140562248995986,0
Arthrosis of first carpometacarpal joint,Diseases of the musculoskeletal system and connective tissue,7225,52,6980.0,193.0,0.0,174.0,1.0,0,0.0,64.0,3851.0,3378,25,0.7197231833910035,0
Other arthrosis,Diseases of the musculoskeletal system and connective tissue,34498,1182,31994.0,1287.0,35.0,179.0,2.0,2,20.0,1773.0,15640.0,17297,575,3.4262855817728566,0
Acquired deformities of fingers and toes,Diseases of the musculoskeletal system and connective tissue,21140,142,20641.0,354.0,3.0,161.0,1.0,36,698.0,2761.0,10436.0,7014,53,0.6717123935666982,0
Other acquired deformities of limbs,Diseases of the musculoskeletal system and connective tissue,6484,630,5517.0,321.0,16.0,188.0,3.0,143,2005.0,1055.0,2069.0,1444,33,9.716224552745219,0
Disorders of patella,Diseases of the musculoskeletal system and connective tissue,2225,81,2100.0,44.0,0.0,202.0,2.0,0,443.0,1303.0,411.0,95,0,3.640449438202247,0
Internal derangement of knee,Diseases of the musculoskeletal system and connective tissue,37206,578,35749.0,868.0,11.0,145.0,1.0,11,1749.0,14610.0,17931.0,3154,10,1.5535128742675912,0
Other specific joint derangements,Diseases of the musculoskeletal system and connective tissue,11606,1025,10166.0,392.0,23.0,174.0,3.0,46,1047.0,5468.0,3927.0,1337,80,8.831638807513356,0
"Other joint disorders, not elsewhere classified",Diseases of the musculoskeletal system and connective tissue,83579,41163,37845.0,4171.0,400.0,138.0,3.0,1146,3995.0,11886.0,29643.0,42234,6939,49.25040979193338,0
Polyarteritis nodosa and related conditions,Diseases of the musculoskeletal system and connective tissue,1631,647,396.0,564.0,24.0,41.0,7.0,599,256.0,149.0,490.0,395,10,39.66891477621091,0
Other necrotizing vasculopathies,Diseases of the musculoskeletal system and connective tissue,10530,2371,3562.0,4535.0,62.0,50.0,5.0,34,239.0,1486.0,3967.0,6202,157,22.51661918328585,0
Systemic lupus erythematosus,Diseases of the musculoskeletal system and connective tissue,7647,813,2114.0,4679.0,41.0,55.0,7.0,2,528.0,3510.0,3643.0,629,6,10.631620243232641,0
Dermatopolymyositis,Diseases of the musculoskeletal system and connective tissue,3888,253,1097.0,2527.0,11.0,55.0,17.0,83,786.0,625.0,1871.0,890,3,6.507201646090535,0
Systemic sclerosis,Diseases of the musculoskeletal system and connective tissue,2802,155,983.0,1654.0,10.0,86.0,8.0,2,142.0,292.0,1497.0,1008,4,5.531763026409707,0
Other systemic involvement of connective tissue,Diseases of the musculoskeletal system and connective tissue,6345,970,2349.0,3009.0,17.0,62.0,7.0,28,253.0,1744.0,2682.0,2170,83,15.2876280535855,0
Systemic disorders of connective tissue in diseases classified elsewhere,Diseases of the musculoskeletal system and connective tissue,36,9,17.0,10.0,0.0,194.0,9.0,0,5.0,18.0,12.0,12,0,25.0,0
Kyphosis and lordosis,Diseases of the musculoskeletal system and connective tissue,291,77,184.0,26.0,4.0,195.0,12.0,5,37.0,65.0,91.0,151,8,26.46048109965636,0
Scoliosis,Diseases of the musculoskeletal system and connective tissue,4291,219,3542.0,519.0,11.0,224.0,7.0,202,2924.0,610.0,342.0,763,28,5.103705429969704,0
Spinal osteochondrosis,Diseases of the musculoskeletal system and connective tissue,42,9,29.0,4.0,0.0,287.0,6.0,0,12.0,25.0,6.0,3,0,21.428571428571427,0
Other deforming dorsopathies,Diseases of the musculoskeletal system and connective tissue,5484,1082,4112.0,263.0,27.0,196.0,4.0,229,256.0,488.0,2309.0,2599,63,19.730123997082423,0
Ankylosing spondylitis,Diseases of the musculoskeletal system and connective tissue,4688,129,1239.0,3318.0,2.0,67.0,5.0,0,4.0,1005.0,2958.0,805,3,2.7517064846416384,0
Other inflammatory spondylopathies,Diseases of the musculoskeletal system and connective tissue,7576,2598,3284.0,1481.0,213.0,194.0,24.0,117,116.0,979.0,5104.0,5818,248,34.292502639915526,0
Spondylosis,Diseases of the musculoskeletal system and connective tissue,27544,3846,21279.0,2338.0,81.0,250.0,5.0,0,8.0,1930.0,13252.0,14346,550,13.963113563752541,0
Other spondylopathies,Diseases of the musculoskeletal system and connective tissue,25417,6094,18238.0,779.0,306.0,142.0,5.0,22,62.0,846.0,9014.0,19176,1092,23.976079002242592,0
Spondylopathies in diseases classified elsewhere,Diseases of the musculoskeletal system and connective tissue,465,300,111.0,28.0,26.0,46.0,8.0,0,1.0,35.0,266.0,361,6,64.51612903225806,0
Cervical disc disorders,Diseases of the musculoskeletal system and connective tissue,9604,1951,7181.0,364.0,108.0,143.0,5.0,0,10.0,1167.0,6448.0,3272,57,20.31445231153686,0
Other intervertebral disc disorders,Diseases of the musculoskeletal system and connective tissue,55909,16773,36796.0,2007.0,333.0,128.0,3.0,1,194.0,13384.0,30908.0,16978,408,30.00053658623835,0
"Other dorsopathies, not elsewhere classified",Diseases of the musculoskeletal system and connective tissue,3614,278,2862.0,465.0,9.0,199.0,3.0,11,84.0,695.0,1956.0,942,22,7.6923076923076925,0
Dorsalgia,Diseases of the musculoskeletal system and connective tissue,126574,57079,59466.0,9607.0,422.0,175.0,2.0,238,1834.0,22095.0,58955.0,52675,3822,45.09535923649406,0
Myositis,Diseases of the musculoskeletal system and connective tissue,3364,1801,723.0,786.0,54.0,44.0,12.0,114,444.0,766.0,1926.0,1817,115,53.53745541022592,0
Calcification and ossification of muscle,Diseases of the musculoskeletal system and connective tissue,174,18,149.0,7.0,0.0,123.0,3.0,3,8.0,84.0,48.0,38,0,10.344827586206897,0
Other disorders of muscle,Diseases of the musculoskeletal system and connective tissue,7171,3421,3076.0,577.0,97.0,116.0,6.0,218,1943.0,1662.0,2060.0,3227,533,47.706038209454746,0
Disorders of muscle in diseases classified elsewhere,Diseases of the musculoskeletal system and connective tissue,12,2,4.0,6.0,0.0,4.0,11.0,0,0.0,4.0,11.0,1,0,16.666666666666664,0
Synovitis and tenosynovitis,Diseases of the musculoskeletal system and connective tissue,14244,2087,11554.0,589.0,14.0,125.0,3.0,614,570.0,1818.0,7217.0,4619,79,14.651783206964335,0
Spontaneous rupture of synovium and tendon,Diseases of the musculoskeletal system and connective tissue,2028,974,918.0,134.0,2.0,116.0,2.0,1,20.0,206.0,925.0,983,71,48.027613412228796,0
Other disorders of synovium and tendon,Diseases of the musculoskeletal system and connective tissue,11845,1547,9966.0,324.0,8.0,134.0,1.0,1027,1278.0,2813.0,4768.0,2161,27,13.060363022372309,0
Disorders of synovium and tendon in diseases classified elsewhere,Diseases of the musculoskeletal system and connective tissue,3,1,2.0,0.0,0.0,243.0,8.0,0,0.0,1.0,0.0,2,0,33.33333333333333,0
"Soft tissue disorders related to use, overuse and pressure",Diseases of the musculoskeletal system and connective tissue,8530,3605,4317.0,592.0,16.0,139.0,3.0,13,78.0,1253.0,4304.0,3821,178,42.262602579132476,0
Other bursopathies,Diseases of the musculoskeletal system and connective tissue,4709,3356,1063.0,251.0,39.0,97.0,2.0,17,31.0,379.0,1892.0,2609,279,71.2677850923763,0
Fibroblastic disorders,Diseases of the musculoskeletal system and connective tissue,22511,1187,20768.0,480.0,76.0,170.0,14.0,42,95.0,865.0,9857.0,13050,77,5.272977655368487,0
Soft tissue disorders in diseases classified elsewhere,Diseases of the musculoskeletal system and connective tissue,6,0,5.0,1.0,0.0,98.0,4.0,0,0.0,0.0,6.0,2,0,0.0,0
Shoulder lesions,Diseases of the musculoskeletal system and connective tissue,26819,972,24895.0,916.0,36.0,138.0,2.0,1,39.0,1927.0,16695.0,8599,149,3.624296207912301,0
"Enthesopathies of lower limb, excluding foot",Diseases of the musculoskeletal system and connective tissue,2290,337,1872.0,80.0,1.0,143.0,2.0,4,39.0,384.0,1328.0,609,28,14.716157205240174,0
Other enthesopathies,Diseases of the musculoskeletal system and connective tissue,4146,296,3702.0,147.0,1.0,158.0,1.0,5,44.0,588.0,2935.0,647,17,7.1394114809454905,0
"Other soft tissue disorders, not elsewhere classified",Diseases of the musculoskeletal system and connective tissue,126007,94702,21178.0,9610.0,517.0,137.0,1.0,1033,3069.0,20265.0,49984.0,54714,5043,75.15614211908861,0
Osteoporosis with pathological fracture,Diseases of the musculoskeletal system and connective tissue,10333,3948,3344.0,2984.0,57.0,58.0,13.0,6,69.0,58.0,1521.0,11113,1620,38.20768411884254,0
Osteoporosis without pathological fracture,Diseases of the musculoskeletal system and connective tissue,45350,606,18186.0,26534.0,24.0,74.0,1.0,10,358.0,383.0,7972.0,34533,2039,1.3362734288864389,0
Osteoporosis in diseases classified elsewhere,Diseases of the musculoskeletal system and connective tissue,31,2,11.0,18.0,0.0,7.0,0.0,3,3.0,0.0,6.0,18,0,6.451612903225806,0
Adult osteomalacia,Diseases of the musculoskeletal system and connective tissue,57,5,10.0,41.0,1.0,54.0,8.0,0,0.0,2.0,3.0,57,2,8.771929824561402,0
Disorders of continuity of bone,Diseases of the musculoskeletal system and connective tissue,10224,2468,7123.0,542.0,91.0,130.0,6.0,37,612.0,2667.0,4012.0,3999,381,24.13928012519562,0
Other disorders of bone density and structure,Diseases of the musculoskeletal system and connective tissue,3939,209,1665.0,2057.0,8.0,90.0,3.0,48,437.0,304.0,1006.0,2115,99,5.305915206905306,0
Osteomyelitis,Diseases of the musculoskeletal system and connective tissue,15313,7811,4639.0,2441.0,422.0,38.0,17.0,368,1485.0,1757.0,9702.0,11998,944,51.008946646640105,0
Osteonecrosis,Diseases of the musculoskeletal system and connective tissue,2318,412,1804.0,82.0,20.0,150.0,7.0,5,90.0,445.0,1086.0,1031,99,17.773943054357204,0
Paget disease of bone [osteitis deformans],Diseases of the musculoskeletal system and connective tissue,355,26,160.0,169.0,0.0,55.0,5.0,0,2.0,1.0,65.0,260,40,7.323943661971831,0
Other disorders of bone,Diseases of the musculoskeletal system and connective tissue,4698,645,3222.0,816.0,15.0,122.0,4.0,121,697.0,911.0,1935.0,1265,39,13.729246487867178,0
Osteopathies in diseases classified elsewhere,Diseases of the musculoskeletal system and connective tissue,1883,1467,270.0,84.0,62.0,47.0,15.0,5,20.0,53.0,797.0,2153,137,77.9075942644716,0
Juvenile osteochondrosis of hip and pelvis,Diseases of the musculoskeletal system and connective tissue,456,49,391.0,16.0,0.0,134.0,2.0,32,270.0,98.0,60.0,4,0,10.74561403508772,0
Other juvenile osteochondrosis,Diseases of the musculoskeletal system and connective tissue,503,72,412.0,19.0,0.0,145.0,2.0,8,168.0,187.0,122.0,24,0,14.314115308151093,0
Other osteochondropathies,Diseases of the musculoskeletal system and connective tissue,1766,351,1328.0,80.0,7.0,140.0,2.0,2,738.0,564.0,448.0,72,2,19.875424688561722,0
Other disorders of cartilage,Diseases of the musculoskeletal system and connective tissue,10788,9659,834.0,274.0,21.0,161.0,0.0,10,562.0,4122.0,4861.0,2013,87,89.53466814979608,1
Other acquired deformities of musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,773,55,683.0,33.0,2.0,234.0,3.0,22,62.0,354.0,258.0,94,1,7.115135834411385,0
"Postprocedural musculoskeletal disorders, not elsewhere classified",Diseases of the musculoskeletal system and connective tissue,9736,7451,1535.0,332.0,418.0,227.0,18.0,0,107.0,324.0,1741.0,10287,2614,76.5304026294166,0
"Biomechanical lesions, not elsewhere classified",Diseases of the musculoskeletal system and connective tissue,519,77,422.0,18.0,2.0,142.0,3.0,1,1.0,42.0,313.0,205,0,14.836223506743737,0
Acute nephritic syndrome,Diseases of the genitourinary system,189,116,42.0,28.0,3.0,17.0,5.0,34,95.0,26.0,26.0,74,0,61.37566137566137,0
Rapidly progressive nephritic syndrome,Diseases of the genitourinary system,49,8,29.0,9.0,3.0,23.0,8.0,19,2.0,4.0,14.0,24,0,16.3265306122449,0
Recurrent and persistent haematuria,Diseases of the genitourinary system,2962,689,1655.0,598.0,20.0,46.0,5.0,13,145.0,798.0,1175.0,1223,67,23.26130992572586,0
Chronic nephritic syndrome,Diseases of the genitourinary system,294,53,155.0,85.0,1.0,51.0,7.0,30,40.0,50.0,82.0,144,1,18.027210884353742,0
Nephrotic syndrome,Diseases of the genitourinary system,5315,2077,1865.0,1280.0,93.0,104.0,6.0,664,1557.0,1038.0,1705.0,1674,55,39.07808090310442,0
Unspecified nephritic syndrome,Diseases of the genitourinary system,1898,593,782.0,502.0,21.0,100.0,5.0,103,387.0,411.0,728.0,677,9,31.24341412012645,0
Isolated proteinuria with specified morphological lesion,Diseases of the genitourinary system,66,15,36.0,14.0,1.0,27.0,3.0,0,8.0,18.0,33.0,19,0,22.727272727272727,0
"Hereditary nephropathy, not elsewhere classified",Diseases of the genitourinary system,11,2,6.0,3.0,0.0,23.0,9.0,0,1.0,2.0,6.0,8,0,18.181818181818183,0
Glomerular disorders in diseases classified elsewhere,Diseases of the genitourinary system,537,108,261.0,161.0,7.0,36.0,7.0,6,44.0,189.0,249.0,183,0,20.11173184357542,0
